7	20	26	27	30
6	20	22	30	36
21	27	28	34	37
1	6	21	35	36
17	18	20	24	34
7	15	20	30	37
6	20	22	27	35
6	20	25	32	37
5	9	13	21	34
3	8	11	19	38
13	16	25	26	31
4	8	23	24	34
6	22	24	29	33
4	8	17	26	30
1	9	33	34	39
8	14	18	20	23
22	26	32	33	38
18	20	21	24	25
4	6	16	23	36
1	10	23	27	36
2	14	20	22	29
1	9	11	27	31
2	3	20	21	34
9	10	15	27	32
3	9	14	26	33
8	18	23	24	31
13	20	26	37	38
4	23	25	35	38
3	9	24	35	38
6	7	9	21	32
12	29	31	36	39
4	17	24	25	28
2	12	17	34	38
19	20	25	30	37
1	4	7	8	39
4	8	21	24	26
6	8	17	24	38
5	19	26	28	29
22	31	35	38	39
4	18	27	29	39
1	7	11	24	39
2	3	7	30	36
10	11	13	23	38
11	14	17	19	24
1	7	15	17	18
6	10	13	16	27
6	11	27	37	38
8	11	13	14	26
2	4	13	23	28
4	8	17	18	26
6	16	25	28	36
12	17	21	28	35
15	24	25	26	32
1	2	4	17	20
9	17	25	28	36
1	11	19	26	32
3	10	16	24	37
1	3	19	20	37
2	7	22	31	37
8	18	20	29	35
9	12	22	30	35
1	21	24	28	34
12	13	15	28	33
6	10	11	26	27
5	6	12	19	33
8	14	15	24	27
5	14	17	19	20
1	11	23	25	35
8	15	17	34	36
7	11	15	16	20
2	12	15	22	35
9	14	18	29	36
2	8	15	17	24
2	15	23	29	38
7	24	28	32	38
1	19	23	30	36
1	5	19	32	37
5	9	15	20	24
11	15	25	32	35
9	16	21	28	38
3	5	21	34	36
1	10	14	20	34
